date,daily_vaccinations,people_fully_vaccinated
2020-12-28,,
2020-12-29,1367.0,
2020-12-30,1348.0,
2020-12-31,1339.0,
2021-01-01,1578.0,
2021-01-02,1722.0,
2021-01-03,1818.0,
2021-01-04,1987.0,
2021-01-05,2648.0,
2021-01-06,3959.0,
2021-01-07,5348.0,
2021-01-08,6375.0,
2021-01-09,7402.0,
2021-01-10,8429.0,
2021-01-11,9083.0,
2021-01-12,9418.0,
2021-01-13,9229.0,
2021-01-14,9026.0,
2021-01-15,8688.0,
2021-01-16,8347.0,
2021-01-17,7455.0,
2021-01-18,7536.0,1643.0
2021-01-19,6618.0,2939.0
2021-01-20,6069.0,4030.0
2021-01-21,5581.0,5815.0
2021-01-22,5326.0,6944.0
2021-01-23,4778.0,8135.0
2021-01-24,4701.0,9403.0
2021-01-25,4426.0,12639.0
2021-01-26,5317.0,17772.0
2021-01-27,6989.0,26293.0
2021-01-28,9745.0,37727.0
2021-01-29,13966.0,49606.0
2021-01-30,17920.0,56825.0
2021-01-31,20434.0,61266.0
2021-02-01,21335.0,68526.0
2021-02-02,21690.0,75036.0
2021-02-03,20946.0,84452.0
2021-02-04,20613.0,92773.0
2021-02-05,19025.0,101652.0
2021-02-06,16113.0,105242.0
2021-02-07,13928.0,107592.0
2021-02-08,12876.0,110395.0
2021-02-09,11984.0,113570.0
2021-02-10,11123.0,117368.0
2021-02-11,10542.0,120649.0
2021-02-12,10587.0,124423.0
2021-02-13,10252.0,128195.0
2021-02-14,9857.0,129339.0
2021-02-15,10251.0,131593.0
2021-02-16,11079.0,134824.0
2021-02-17,13436.0,141023.0
2021-02-18,16165.0,152432.0
2021-02-19,20697.0,172739.0
2021-02-20,24694.0,190705.0
2021-02-21,26975.0,201005.0
2021-02-22,27038.0,205720.0
2021-02-23,28014.0,208846.0
