date,daily_vaccinations,people_fully_vaccinated
2020-12-31,,
2021-01-01,459.0,
2021-01-02,459.0,
2021-01-03,459.0,
2021-01-04,459.0,
2021-01-05,736.0,
2021-01-06,839.0,
2021-01-07,913.0,
2021-01-08,1273.0,
2021-01-09,1353.0,
2021-01-10,1433.0,
2021-01-11,1513.0,
2021-01-12,1739.0,
2021-01-13,2332.0,
2021-01-14,3554.0,
2021-01-15,4573.0,
2021-01-16,4971.0,
2021-01-17,5369.0,
2021-01-18,5767.0,
2021-01-19,5458.0,
2021-01-20,5562.0,
2021-01-21,6467.0,
2021-01-22,6874.0,
2021-01-23,7253.0,
2021-01-24,7633.0,
2021-01-25,8012.0,4553.0
2021-01-26,8740.0,6960.0
2021-01-27,9264.0,9355.0
2021-01-28,8575.0,10540.0
2021-01-29,8647.0,14239.0
2021-01-30,9222.0,17757.0
2021-01-31,8404.0,
2021-02-01,7587.0,18203.0
2021-02-02,6709.0,18203.0
2021-02-03,6637.0,23421.0
2021-02-04,7942.0,34293.0
2021-02-05,7930.0,42667.0
2021-02-06,7938.0,48650.0
2021-02-07,8157.0,49781.0
2021-02-08,8125.0,49995.0
2021-02-09,9065.0,53869.0
2021-02-10,8629.0,55770.0
2021-02-11,7660.0,60152.0
2021-02-12,7720.0,63802.0
2021-02-13,7896.0,66832.0
2021-02-14,8050.0,66959.0
2021-02-15,8079.0,66992.0
2021-02-16,8071.0,67463.0
2021-02-17,9202.0,68631.0
2021-02-18,9509.0,70127.0
2021-02-19,10327.0,71486.0
2021-02-20,10861.0,72859.0
2021-02-21,12496.0,75940.0
